algorithm,validation_method,remove_outliers,scale_data,use_pca,params,time,conf_matrix,accuracy,precision,recall,f1
svm_classifier,cross_validation,False,True,True,"{'C': 1, 'kernel': 'linear'}",0.32279276847839355,"[[229.0, 18.0, 0.0, 0.0, 0.0, 25.0, 0.0], [95.0, 115.0, 6.0, 0.0, 0.0, 40.0, 31.0], [1.0, 9.0, 265.0, 31.0, 1.0, 22.0, 22.0], [0.0, 1.0, 10.0, 283.0, 1.0, 0.0, 2.0], [0.0, 0.0, 2.0, 0.0, 321.0, 0.0, 1.0], [13.0, 36.0, 33.0, 1.0, 0.0, 166.0, 41.0], [3.0, 27.0, 86.0, 17.0, 0.0, 31.0, 126.0]]",0.7129328042156989,0.7084432413023117,0.6991806546203514,0.6959856707412402
svm_classifier,cross_validation,False,True,True,"{'C': 1, 'kernel': 'rbf'}",0.4232301712036133,"[[235.0, 25.0, 0.0, 0.0, 0.0, 12.0, 0.0], [41.0, 178.0, 15.0, 1.0, 0.0, 31.0, 21.0], [2.0, 24.0, 249.0, 41.0, 3.0, 11.0, 21.0], [0.0, 6.0, 4.0, 284.0, 0.0, 0.0, 3.0], [0.0, 1.0, 0.0, 1.0, 321.0, 0.0, 1.0], [9.0, 41.0, 43.0, 4.0, 0.0, 171.0, 22.0], [4.0, 29.0, 46.0, 17.0, 0.0, 29.0, 165.0]]",0.7593424016121384,0.7573159678255031,0.7558267007614748,0.7531492847137494
svm_classifier,holdout,False,True,True,default,0.14800024032592773,"[[72, 4, 0, 0, 0, 6, 0], [13, 51, 5, 0, 0, 9, 8], [0, 8, 79, 7, 3, 4, 5], [0, 3, 1, 85, 0, 0, 0], [0, 0, 0, 0, 97, 0, 0], [4, 15, 12, 0, 0, 47, 9], [2, 16, 15, 4, 0, 7, 43]]",0.7476340694006309,0.7436991419379505,0.7404471249408154,0.7387853713979836
svm_classifier,cross_validation,True,False,True,"{'C': 0.01, 'kernel': 'linear'}",0.11599946022033691,"[[225.0, 47.0, 0.0, 0.0, 0.0, 0.0, 0.0], [76.0, 120.0, 0.0, 0.0, 0.0, 76.0, 15.0], [0.0, 0.0, 133.0, 17.0, 59.0, 23.0, 119.0], [0.0, 0.0, 51.0, 24.0, 222.0, 0.0, 0.0], [0.0, 0.0, 42.0, 31.0, 251.0, 0.0, 0.0], [6.0, 50.0, 16.0, 0.0, 0.0, 140.0, 78.0], [0.0, 23.0, 71.0, 0.0, 0.0, 47.0, 149.0]]",0.493614352989353,0.49822742502261236,0.544857036247893,0.46206583755512803
svm_classifier,cross_validation,True,False,True,"{'C': 0.01, 'kernel': 'rbf'}",0.28499889373779297,"[[0.0, 0.0, 28.0, 0.0, 244.0, 0.0, 0.0], [0.0, 0.0, 167.0, 0.0, 120.0, 0.0, 0.0], [0.0, 0.0, 200.0, 0.0, 151.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 296.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 324.0, 0.0, 0.0], [0.0, 0.0, 272.0, 0.0, 18.0, 0.0, 0.0], [0.0, 0.0, 260.0, 0.0, 30.0, 0.0, 0.0]]",0.24822392667787405,0.22410698066530435,0.7845538610058901,0.10632746161943861
svm_classifier,cross_validation,True,False,True,"{'C': 0.1, 'kernel': 'linear'}",0.11295437812805176,"[[219.0, 53.0, 0.0, 0.0, 0.0, 0.0, 0.0], [73.0, 125.0, 0.0, 0.0, 0.0, 74.0, 15.0], [0.0, 0.0, 136.0, 17.0, 58.0, 24.0, 116.0], [0.0, 0.0, 51.0, 24.0, 222.0, 0.0, 0.0], [0.0, 0.0, 42.0, 31.0, 251.0, 0.0, 0.0], [5.0, 51.0, 16.0, 0.0, 0.0, 140.0, 78.0], [0.0, 23.0, 71.0, 0.0, 0.0, 48.0, 148.0]]",0.4940864907970171,0.4981758155958463,0.5462182709504435,0.4628297886839578
svm_classifier,cross_validation,True,False,True,"{'C': 0.1, 'kernel': 'rbf'}",0.23160934448242188,"[[234.0, 37.0, 0.0, 0.0, 0.0, 1.0, 0.0], [88.0, 83.0, 3.0, 0.0, 0.0, 99.0, 14.0], [0.0, 0.0, 123.0, 10.0, 87.0, 17.0, 114.0], [0.0, 0.0, 26.0, 108.0, 163.0, 0.0, 0.0], [0.0, 0.0, 7.0, 31.0, 286.0, 0.0, 0.0], [7.0, 26.0, 32.0, 0.0, 0.0, 162.0, 63.0], [0.0, 8.0, 91.0, 0.0, 2.0, 63.0, 126.0]]",0.5315173876029139,0.5380233014270993,0.5691909947766947,0.506947889502361
svm_classifier,cross_validation,True,False,True,"{'C': 1, 'kernel': 'linear'}",2.133464813232422,"[[220.0, 52.0, 0.0, 0.0, 0.0, 0.0, 0.0], [73.0, 125.0, 0.0, 0.0, 0.0, 74.0, 15.0], [0.0, 0.0, 136.0, 17.0, 58.0, 24.0, 116.0], [0.0, 0.0, 51.0, 24.0, 222.0, 0.0, 0.0], [0.0, 0.0, 42.0, 31.0, 251.0, 0.0, 0.0], [5.0, 51.0, 16.0, 0.0, 0.0, 140.0, 78.0], [0.0, 23.0, 71.0, 0.0, 0.0, 48.0, 148.0]]",0.4945606491659123,0.49869341393953165,0.5466532295083719,0.46325736628309144
svm_classifier,cross_validation,True,False,True,"{'C': 1, 'kernel': 'rbf'}",0.2118229866027832,"[[231.0, 41.0, 0.0, 0.0, 0.0, 0.0, 0.0], [80.0, 115.0, 2.0, 0.0, 0.0, 80.0, 10.0], [0.0, 0.0, 123.0, 13.0, 80.0, 29.0, 106.0], [0.0, 0.0, 30.0, 194.0, 73.0, 0.0, 0.0], [0.0, 0.0, 13.0, 37.0, 274.0, 0.0, 0.0], [6.0, 48.0, 26.0, 0.0, 0.0, 153.0, 57.0], [0.0, 22.0, 82.0, 0.0, 2.0, 64.0, 120.0]]",0.5731874218716324,0.5779339943831235,0.5732986680514855,0.5667895482283497
svm_classifier,holdout,True,False,True,default,0.0709993839263916,"[[67, 15, 0, 0, 0, 0, 0], [22, 30, 0, 0, 0, 30, 4], [0, 0, 35, 4, 25, 9, 33], [0, 0, 11, 51, 27, 0, 0], [0, 0, 3, 8, 86, 0, 0], [1, 12, 8, 0, 0, 57, 9], [0, 4, 19, 0, 0, 29, 35]]",0.5694006309148265,0.5733145670938045,0.5739407170964933,0.5613169226118009
